,FILE NO,DIVISION,MODE OF TRANSPORTATION,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER CODE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF LOAD COUNTRY,PORT OF DCHG NAME,PORT OF DCHG COUNTRY,GROSS WEIGHT,REVENUE,PROFIT,TOTAL BILLED TO ACCOUNT,STATUS,CONTROLLER,INV DATE,DATE INVOICED,LAST EVENT NAME
2469,1430423-02,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/24/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,"JFK AIRPORT, NEW YORK",US,1238.0,"2,829.97",554.33,"2,829.97",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/02/2021, 5/02/2021,Invoice Printed BB Air
2470,1430424-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/22/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,LOS ANGELES INT'L AIRPORT,US,487.0,"1,850.91",290.55,"1,850.91",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/30/2021, 4/30/2021,Invoice Printed BB Air
2471,1430424-02,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/22/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,LOS ANGELES INT'L AIRPORT,US,230.0,"3,270.44",316.88,"3,270.44",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/30/2021, 4/30/2021,Invoice Printed BB Air
2472,1430425-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/24/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,BOSTON-LOGAN INTL AIRPORT,US,1155.0,"16,169.65",574.92,"16,169.65",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/29/2021, 4/29/2021,Invoice Printed BB Air
2473,1430425-02,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/24/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,BOSTON-LOGAN INTL AIRPORT,US,389.0,963.57,303.09,963.57,ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/29/2021, 4/29/2021,Invoice Printed BB Air
2474,1430426-01,10,40.0,45.0,28.0,JODI O, 4/23/2021,CDAER01,CD AERO LLC,SHANGHAI,CN,BOSTON-LOGAN INTL AIRPORT,US,87.0,"2,600.83",584.19,"2,600.83",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/28/2021, 4/30/2021,Invoice Printed BB Air
2475,1430427-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/22/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",MILAN,IT,"PORTO SEGURO, BA        B",,26.0,720.68,255.25,352.18,ARRIVED DESTINATION PORT,DEANNE LEWIS, 4/29/2021, 4/29/2021,Invoice Printed BB Air
2476,1430428-01,10,40.0,45.0,27.0,GEORGE T., 4/23/2021,TIMMIC01,TIMES MICROWAVE SYSTEMS,SHANGHAI - PU DONG,CN,"JFK AIRPORT, NEW YORK",US,394.0,"11,169.21",443.47,"11,169.21",DELIVERED,PAUL OSCAR, 4/22/2021, 4/30/2021,Invoice Printed BB Air
2477,1430429-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/26/2021,AMESCI,AMERICAN SCIENCE & ENGINEERING I,ZURICH,CH,BOSTON-LOGAN INTL AIRPORT,US,152.0,"3,187.10",310.16,"3,187.10",ARRIVED DESTINATION PORT,PAUL OSCAR, 4/27/2021, 5/11/2021,Invoice Printed BB Air
2478,1430430-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/23/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,LOS ANGELES INT'L AIRPORT,US,120.0,"3,239.17",427.62,"3,239.17",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/30/2021, 4/30/2021,Invoice Printed BB Air
2479,1430430-02,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/23/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,LOS ANGELES INT'L AIRPORT,US,1763.0,"6,112.14",599.45,"6,112.14",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/30/2021, 4/30/2021,Invoice Printed BB Air
2480,1430431-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/23/2021,COLCHA01,COLD CHAIN TECHNOLOGIES LLC,CHONGQING,CN,BOSTON-LOGAN INTL AIRPORT,US,804.0,"11,244.42",574.89,"11,244.42",DELIVERED,RICHARD SANTIAGO, 5/03/2021, 6/26/2021,Invoice Printed BB Air
2481,1430432-02,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/22/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,BOSTON-LOGAN INTL AIRPORT,US,540.0,"1,781.01",307.78,"1,781.01",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/29/2021, 4/29/2021,Invoice Printed BB Air
2482,1430433-01,10,40.0,45.0,36.0,VALERIE KOEN, 4/25/2021,INKNOW01,INKCUPS NOW CORPORATION,MILAN,IT,BOSTON-LOGAN INTL AIRPORT,US,713.0,"6,639.42",311.83,"6,639.42",ARRIVED DESTINATION PORT,PAUL OSCAR, 5/11/2021, 5/11/2021,Invoice Printed BB Air
2483,1430434-01,10,40.0,45.0,27.0,GEORGE T., 5/03/2021,TIMMIC01,TIMES MICROWAVE SYSTEMS,SHANGHAI,CN,"BALTIMORE, MD   USA",,438.0,"9,275.90",257.16,"9,275.90",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/30/2021, 5/19/2021,Invoice Printed BB Air
2484,1430435-01,10,40.0,45.0,28.0,JODI O, 4/26/2021,GEMGRA,GEM GRAVURE CO INC,FRANKFURT,DE,BOSTON-LOGAN INTL AIRPORT,US,97.0,"5,055.27",312.53,"5,055.27",CLEARED,RICHARD SANTIAGO, 4/30/2021, 4/30/2021,Invoice Printed BB Air
2485,1430436-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/28/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,BOSTON-LOGAN INTL AIRPORT,US,160.0,"2,205.95",280.41,"2,205.95",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/29/2021, 4/30/2021,Invoice Printed BB Air
2486,1430436-02,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/28/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,BOSTON-LOGAN INTL AIRPORT,US,1140.0,"15,894.40",639.58,"15,894.40",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/29/2021, 4/30/2021,Invoice Printed BB Air
2487,1430436-03,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/28/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,BOSTON-LOGAN INTL AIRPORT,US,295.0,611.09,283.47,611.09,ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/29/2021, 4/30/2021,Invoice Printed BB Air
2488,1430437-01,10,40.0,45.0,28.0,JODI O, 4/30/2021,CDAER01,CD AERO LLC,SHANGHAI - PU DONG,CN,BOSTON-LOGAN INTL AIRPORT,US,351.0,"6,745.60",527.02,"6,745.60",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/11/2021, 5/11/2021,Invoice Printed BB Air
2489,1430438-01,10,40.0,45.0,28.0,JODI O, 5/02/2021,GEMGRA,GEM GRAVURE CO INC,FRANKFURT,DE,BOSTON-LOGAN INTL AIRPORT,US,1348.0,"12,215.38",458.01,"12,215.38",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/03/2021, 5/24/2021,Invoice Printed BB Air
2490,1430439-01,10,40.0,45.0,28.0,JODI O, 4/25/2021,CDAER01,CD AERO LLC,SHANGHAI,CN,LOS ANGELES INT'L AIRPORT,US,492.0,"6,299.16",436.84,"6,299.16",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/05/2021, 5/05/2021,Invoice Printed BB Air
2491,1430440-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/25/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.","TOKYO, JAPAN",JP,BOSTON-LOGAN INTL AIRPORT,US,10.0,992.54,324.81,992.54,ARRIVED DESTINATION PORT,DEANNE LEWIS, 4/26/2021, 4/29/2021,Invoice Printed BB Air
2492,1430441-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/27/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",SHANGHAI - PU DONG,CN,BOSTON-LOGAN INTL AIRPORT,US,244.0,"5,252.35",335,"5,252.35",ARRIVED DESTINATION PORT,DEANNE LEWIS, 4/29/2021, 4/29/2021,Invoice Printed BB Air
2493,1430442-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/28/2021,MICROS01,MICROSEMI FREQUENCY AND TIME COR,PENANG - INTERNATIONAL  M,MY,BOSTON-LOGAN INTL AIRPORT,US,312.0,"5,303.05",184.08,"5,303.05",DELIVERED,RICHARD SANTIAGO, 4/30/2021, 4/30/2021,Invoice Printed BB Air
2494,1430443-01,10,40.0,45.0,27.0,GEORGE T., 4/27/2021,TIMMIC01,TIMES MICROWAVE SYSTEMS,SHANGHAI - PU DONG,CN,"SEATTLE/TACOMA, WA      U",US,779.0,"30,359.92","1,136.01","29,938.34",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/27/2021, 5/25/2021,Invoice Printed BB Air
2495,1430444-01,10,40.0,45.0,36.0,VALERIE KOEN, 4/24/2021,HYDINC01,HYDROW INC,TAIPEI,TW,"MINNEAPOLIS, ST. PAUL, MN",US,537.0,"6,777.70",448.42,"6,777.70",ARRIVED DESTINATION PORT,DEANNE LEWIS, 5/04/2021, 5/04/2021,Invoice Printed BB Air
2496,1430445-01,10,40.0,45.0,36.0,VALERIE KOEN, 4/30/2021,HARSJO01,HARTLEY S JOHNSON & SON INC,PARIS-CHARLES DE GAULLE,FR,BOSTON-LOGAN INTL AIRPORT,US,255.0,"2,799.05",626.23,"2,799.05",ARRIVED DESTINATION PORT,DEANNE LEWIS, 5/06/2021, 5/06/2021,Invoice Printed BB Air
2497,1430446-01,10,40.0,45.0,28.0,JODI O, 4/30/2021,YAMUNI01,"YAMAHA UNIFIED COMMUNICATIONS, INC",SHANGHAI - PU DONG,CN,BOSTON-LOGAN INTL AIRPORT,US,511.0,"7,672.73",655.49,"7,672.73",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/30/2021, 4/30/2021,Invoice Printed BB Air
2498,1430447-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/26/2021,WATMAR,WATSON MARLOW INC,STUTTGART,DE,BOSTON-LOGAN INTL AIRPORT,US,383.0,"5,088.37",285.34,"5,088.37",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/29/2021, 4/29/2021,Invoice Printed BB Air
2499,1430448-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/27/2021,WATMAR,WATSON MARLOW INC,STUTTGART,DE,LOS ANGELES INT'L AIRPORT,US,23.0,"1,250.81",439.57,"1,250.81",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/04/2021, 5/07/2021,Invoice Printed BB Air
2500,1430449-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/03/2021,WATMAR,WATSON MARLOW INC,AMSTERDAM,NL,BOSTON-LOGAN INTL AIRPORT,US,395.0,656.67,254.72,656.67,ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/04/2021, 5/04/2021,Invoice Printed BB Air
2501,1430450-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/26/2021,WATMAR,WATSON MARLOW INC,STUTTGART,DE,CHICAGO O'HARE,US,28.0,"1,430.48",552.63,"1,430.48",DELIVERED,RICHARD SANTIAGO, 4/26/2021, 4/30/2021,Invoice Printed BB Air
2502,1430451-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/26/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,"JFK AIRPORT, NEW YORK",US,700.0,"11,627.54",511.39,"11,627.54",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/30/2021, 4/30/2021,Invoice Printed BB Air
2503,1430451-02,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/26/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,"JFK AIRPORT, NEW YORK",US,693.0,"2,748.30",419.67,"2,748.30",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/30/2021, 4/30/2021,Invoice Printed BB Air
2504,1430452-01,10,40.0,45.0,272.0,TSIROGIANIS - PW REASSIGNED, 5/06/2021,BARINC,BARBOUR INC,LONDON HEATHROW,GB,BOSTON-LOGAN INTL AIRPORT,US,1438.0,0,72.05,0,ARRIVED DESTINATION PORT,PAUL OSCAR, 4/24/2021,  /  /    ,Arrived
2505,1430453-01,10,40.0,45.0,27.0,GEORGE T., 4/25/2021,AMPINT02,AMPHENOL INTERCONNECT PRODUCTS CORP,HONG KONG,HK,LOS ANGELES INT'L AIRPORT,US,139.0,"2,692.47",348.62,"2,692.47",DELIVERED,RICHARD SANTIAGO, 4/26/2021, 5/26/2021,Invoice Printed BB Air
2506,1430453-02,10,40.0,45.0,27.0,GEORGE T., 4/25/2021,AMPINT02,AMPHENOL INTERCONNECT PRODUCTS CORP,HONG KONG,HK,LOS ANGELES INT'L AIRPORT,US,283.0,"4,514.72",457.78,"4,514.72",DELIVERED,RICHARD SANTIAGO, 4/26/2021, 5/26/2021,Invoice Printed BB Air
2507,1430454-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/28/2021,FLIINC,FLINTEC INC,COLOMBO,LK,"JFK AIRPORT, NEW YORK",US,1333.0,"12,251.11",525.08,"12,251.11",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/29/2021, 5/11/2021,Invoice Printed BB Air
2508,1430455-01,10,40.0,45.0,28.0,JODI O, 4/30/2021,SOCINC01,SOCLEAN INC,HONG KONG,HK,BOSTON-LOGAN INTL AIRPORT,US,424.0,"6,363.82",517.04,"6,363.82",DELIVERED,RICHARD SANTIAGO, 5/19/2021, 5/19/2021,Invoice Printed BB Air
2509,1430455-02,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/30/2021,MICROS01,MICROSEMI FREQUENCY AND TIME COR,HONG KONG,HK,BOSTON-LOGAN INTL AIRPORT,US,45.0,"2,207.68",494.09,"2,207.68",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/19/2021, 5/19/2021,Invoice Printed BB Air
2510,1430455-03,10,40.0,45.0,,, 4/30/2021,COGMED02,COGMEDIX,HONG KONG,HK,BOSTON-LOGAN INTL AIRPORT,US,335.0,"20,357.87","1,380.32","20,357.87",DELIVERED,RICHARD SANTIAGO, 5/19/2021, 5/19/2021,Invoice Printed BB Air
2511,1430456-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/30/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",BEIJING/PEKING,CN,BOSTON-LOGAN INTL AIRPORT,US,881.0,"11,163.85",566.45,"11,163.85",ARRIVED DESTINATION PORT,DEANNE LEWIS, 5/13/2021, 5/13/2021,Invoice Printed BB Air
2512,1430457-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/29/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,"JFK AIRPORT, NEW YORK",US,270.0,"5,624.57",749.97,"5,624.57",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/30/2021, 4/30/2021,Invoice Printed BB Air
2513,1430457-02,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/29/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,"JFK AIRPORT, NEW YORK",US,1143.0,"4,398.77",320.43,"4,398.77",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/30/2021, 4/30/2021,Invoice Printed BB Air
2514,1430458-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/27/2021,AMESCI,AMERICAN SCIENCE & ENGINEERING I,TOKYO - NARITA  JAPAN,JP,BOSTON-LOGAN INTL AIRPORT,US,320.0,"4,164.30",284.37,"4,164.30",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/27/2021, 5/11/2021,Invoice Printed BB Air
2515,1430460-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/01/2021,WATMAR,WATSON MARLOW INC,STUTTGART,DE,BOSTON-LOGAN INTL AIRPORT,US,207.0,"1,672.60",230.72,"1,672.60",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/04/2021, 5/04/2021,Invoice Printed BB Air
2516,1430461-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/03/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,LOS ANGELES INT'L AIRPORT,US,120.0,"2,128.05",466.93,"2,128.05",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/07/2021, 5/07/2021,Invoice Printed BB Air
2517,1430461-02,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/03/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,LOS ANGELES INT'L AIRPORT,US,1006.0,"2,866.49",460.66,"2,866.49",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/07/2021, 5/07/2021,Invoice Printed BB Air
2518,1430462-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/02/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,LOS ANGELES INT'L AIRPORT,US,680.0,"3,118.33",387.29,"3,118.33",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/27/2021, 5/26/2021,Invoice Printed BB Air
2519,1430463-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/01/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,"JFK AIRPORT, NEW YORK",US,170.0,"2,802.48",380.31,"2,802.48",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/04/2021, 5/04/2021,Invoice Printed BB Air
2520,1430463-02,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/01/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,"JFK AIRPORT, NEW YORK",US,618.0,"1,753.65",306.41,"1,753.65",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/04/2021, 5/04/2021,Invoice Printed BB Air
2521,1430464-01,10,40.0,45.0,19.0,PDAVIS, 5/03/2021,SHRLLC01,"SHRINKFAST, LLC",SOFIA,BG,BOSTON-LOGAN INTL AIRPORT,US,588.0,"4,675.60",347.4,"4,675.60",DELIVERED,RICHARD SANTIAGO, 5/12/2021, 5/12/2021,Invoice Printed BB Air
2522,1430465-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/30/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,"JFK AIRPORT, NEW YORK",US,640.0,"1,974.97",363.37,"1,974.97",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/04/2021, 5/04/2021,Arrived
2523,1430466-01,10,40.0,45.0,27.0,GEORGE T., 5/01/2021,AMPINT02,AMPHENOL INTERCONNECT PRODUCTS CORP,NINGBO,CN,LOS ANGELES INT'L AIRPORT,US,1987.0,"26,112.17",920.55,"26,112.17",DELIVERED,PAUL OSCAR, 5/02/2021, 5/31/2021,Invoice Printed BB Air
2524,1430467-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/04/2021,DESMET01,DESKTOP METAL INC,HONG KONG,HK,BOSTON-LOGAN INTL AIRPORT,US,110.0,0,"-1,737.00",0,ARRIVED DESTINATION PORT,PAUL OSCAR, 4/28/2021,  /  /    ,Delivery Order Issued To Truck
2525,1430468-01,10,40.0,45.0,36.0,VALERIE KOEN, 5/10/2021,COLTEC01,COLUMBIA TECH,AMSTERDAM,NL,BOSTON-LOGAN INTL AIRPORT,US,132.0,"1,453.02",380.86,"1,453.02",DELIVERED,RICHARD SANTIAGO, 6/04/2021, 6/09/2021,Invoice Printed BB Air
2526,1430469-01,10,40.0,45.0,28.0,JODI O, 5/02/2021,ANTTEC01,ANTAYA TECHNOLOGIES CORP,STUTTGART,DE,BOSTON-LOGAN INTL AIRPORT,US,749.0,"5,650.53",338.08,"5,650.53",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/07/2021, 6/10/2021,Invoice Printed BB Air
2527,1430470-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/30/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,BOSTON-LOGAN INTL AIRPORT,US,830.0,"11,765.62",423.56,"11,765.62",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/04/2021, 5/04/2021,Invoice Printed BB Air
2528,1430470-02,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 4/30/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,BOSTON-LOGAN INTL AIRPORT,US,1285.0,"4,109.12",478.38,"4,109.12",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/04/2021, 5/04/2021,Invoice Printed BB Air
2529,1430471-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/03/2021,WATMAR,WATSON MARLOW INC,LOS ANGELES INT'L AIRPORT,US,LOS ANGELES INT'L AIRPORT,US,190.0,"2,642.54",379.35,"2,642.54",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/29/2021, 5/26/2021,Invoice Printed BB Air
2530,1430471-02,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/03/2021,WATMAR,WATSON MARLOW INC,LOS ANGELES INT'L AIRPORT,US,LOS ANGELES INT'L AIRPORT,US,362.0,"1,468.18",182.14,"1,468.18",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/29/2021, 5/26/2021,Invoice Printed BB Air
2531,1430472,10,40.0,45.0,4.0,ED KAPLAN/HOUSE, 5/01/2021,KOPGAM,KOPLOW GAMES INCORPORATED,HONG KONG,HK,WARSAW,PL,190.0,"2,640.20",349.91,"2,640.20",DELIVERED,APRIL WILSON, 6/18/2021, 6/18/2021,Invoice Printed BB Air
2532,1430473-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/05/2021,WATMAR,WATSON MARLOW INC,STUTTGART,DE,BOSTON-LOGAN INTL AIRPORT,US,248.0,"2,855.44",243.33,"2,855.44",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/06/2021, 5/06/2021,Invoice Printed BB Air
2533,1430474-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/05/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,LOS ANGELES INT'L AIRPORT,US,260.0,"3,873.40",329.85,"3,873.40",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 4/30/2021, 5/24/2021,Invoice Printed BB Air
2534,1430474-02,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/05/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,LOS ANGELES INT'L AIRPORT,US,390.0,"5,246.34",336.59,"5,246.34",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/05/2021, 5/24/2021,Invoice Printed BB Air
2535,1430474-03,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/05/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,LOS ANGELES INT'L AIRPORT,US,144.0,921.78,233.09,921.78,ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/05/2021, 5/24/2021,Invoice Printed BB Air
2536,1430475-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/03/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,"JFK AIRPORT, NEW YORK",US,400.0,"5,202.45",379.25,"5,202.45",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/04/2021, 5/04/2021,Invoice Printed BB Air
2537,1430475-02,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/03/2021,WATMAR,WATSON MARLOW INC,LONDON HEATHROW,GB,"JFK AIRPORT, NEW YORK",US,904.0,"3,995.10",608.76,"3,995.10",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/04/2021, 5/04/2021,Invoice Printed BB Air
2538,1430476-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/05/2021,WATMAR,WATSON MARLOW INC,STUTTGART,DE,LOS ANGELES INT'L AIRPORT,US,92.0,"1,930.14",449.42,"1,930.14",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/05/2021, 5/24/2021,Invoice Printed BB Air
2539,1430477-01,10,40.0,45.0,27.0,GEORGE T., 5/01/2021,TIMMIC01,TIMES MICROWAVE SYSTEMS,SHANGHAI - PU DONG,CN,"JFK AIRPORT, NEW YORK",US,110.0,"3,159.37",440.1,"3,159.37",DELIVERED,PAUL OSCAR, 5/02/2021, 5/19/2021,Invoice Printed BB Air
2540,1430478-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/02/2021,WATMAR,WATSON MARLOW INC,AMSTERDAM,NL,BOSTON-LOGAN INTL AIRPORT,US,317.0,672.82,221.83,672.82,ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/06/2021, 5/06/2021,Invoice Printed BB Air
2541,1430479-01,10,40.0,45.0,28.0,JODI O, 5/02/2021,CDAER01,CD AERO LLC,SHANGHAI - PU DONG,CN,LOS ANGELES INT'L AIRPORT,US,492.0,"6,422.16",426.58,"6,422.16",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/11/2021, 5/11/2021,Invoice Printed BB Air
2542,1430480-01,10,40.0,45.0,272.0,TSIROGIANIS - PW REASSIGNED, 5/06/2021,BARINC,BARBOUR INC,LONDON HEATHROW,GB,BOSTON-LOGAN INTL AIRPORT,US,389.0,0,30.77,0,ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/05/2021,  /  /    ,Arrived
2543,1430481-01,10,40.0,45.0,27.0,GEORGE T., 5/06/2021,TIMMIC01,TIMES MICROWAVE SYSTEMS,SHANGHAI - PU DONG,CN,GREENSBORO/HIGH POINT,US,287.0,"9,173.80",514.38,"9,173.80",DELIVERED,PAUL OSCAR, 5/20/2021, 5/20/2021,Invoice Printed BB Air
2544,1430482-01,10,40.0,45.0,28.0,JODI O, 5/03/2021,SCHFIB,SCHOTT NORTH AMERICA INC,FRANKFURT,DE,BOSTON-LOGAN INTL AIRPORT,US,147.0,"2,179.98",344.74,0,DELIVERED,RICHARD SANTIAGO, 5/13/2021, 5/13/2021,Invoice Printed BB Air
2545,1430483-01,10,40.0,45.0,28.0,JODI O, 5/06/2021,GEMGRA,GEM GRAVURE CO INC,FRANKFURT,DE,BOSTON-LOGAN INTL AIRPORT,US,174.0,"9,367.51",344.89,"9,367.51",ARRIVED DESTINATION PORT,RICHARD SANTIAGO, 5/07/2021, 5/24/2021,Invoice Printed BB Air
2546,1430484-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/03/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",SHANGHAI - PU DONG,CN,BOSTON-LOGAN INTL AIRPORT,US,270.0,"4,228.30",373.64,"4,228.30",ARRIVED DESTINATION PORT,DEANNE LEWIS, 5/13/2021, 5/13/2021,Invoice Printed BB Air
2547,1430485-01,10,40.0,45.0,5.0,JOE WYSON/HOUSE, 5/03/2021,STEINT03,"STEELITE INTERNATIONAL USA, INC","PRAGUE, CZECH REP",CZ,"DALLAS-FORT WORTH, TX",US,1435.0,"11,716.50",223.5,"11,716.50",ARRIVED DESTINATION PORT,DEANNE LEWIS, 5/04/2021, 6/04/2021,Invoice Printed BB Air
